SOC,OCV
0.0,2.5001488
5.731446572898591e-08,2.4999914
2.550711213000767e-05,2.5006213
5.416688582671192e-05,2.5014091
8.282650818569604e-05,2.5021179
0.00011148628403057081,2.502748
0.0001401458250374077,2.5033782
0.00016880529156992896,2.504205
0.0001974649432749942,2.5048351
0.00022612460625592856,2.5055046
0.00025478433246295396,2.5061347
0.00028344417383607823,2.5067649
0.0003121039903832834,2.507592
0.00034076364435886575,2.5082614
0.00036942327120292884,2.5089307
0.0003980830335573726,2.5095215
0.0004267429246103127,2.5103092
0.00045540272083444133,2.5109391
0.0004840626525965952,2.5116482
0.0005127223314541629,2.5122781
0.0005413821863456958,2.5129871
0.0005700419486752706,2.5136566
0.0005987017764705893,2.5144048
0.0006273613581726512,2.514956
0.0006560212108183139,2.5157831
0.0006846812734866425,2.516295
0.0007133412300359687,2.517004
0.0007420009065215449,2.5177522
0.0007706599372441225,2.518461
0.0007993190515265258,2.5190911
0.0008279784029386894,2.5197606
0.0008566376910617013,2.5204694
0.0008852972095410028,2.520942
0.0009139563983219245,2.5217297
0.0009426155713316842,2.5223596
0.0009712748550111394,2.5230687
0.0009999342424865665,2.5236986
0.001028593155772417,2.524368
0.0010572527442583857,2.5250771
0.001085912027913638,2.5256677
0.0011145714086473468,2.5264161
0.001143230344516466,2.5270066
0.0011718895333360235,2.5275974
0.0012005489546355053,2.5283062
0.0012292084233825884,2.5290544
0.0012578674947200108,2.5297239
0.0012865269860645734,2.5303147
0.001315186802548829,2.5309842
0.0013438465762071194,2.531693
0.0013725058982066995,2.5323231
0.0014011653060367335,2.5330319
0.0014298247138424536,2.5337014
0.0014584840245905895,2.5343316
0.001487143364607868,2.5349221
0.0015158028988624395,2.5355523
0.0015444627199122651,2.53634
0.0015731222541283119,2.5369306
0.0016017817070969054,2.5376396
0.0016304411194331125,2.5381908
0.0016591007778623545,2.5388997
0.0016877603053085943,2.5394905
0.0017164198327512814,2.5400417
0.0017450792315375496,2.5408294
0.0017737391338417119,2.54142
0.001802398717800524,2.542129
0.0018310579788689552,2.5427985
0.0018597175063780336,2.5433891
0.0018883769774238335,2.5440586
0.0019170361910272327,2.5447674
0.0019456955221022199,2.5453188
0.001974355047284937,2.5460277
0.002003014405424719,2.5466185
0.0020316740435447622,2.5473273
0.002060333449093732,2.5478785
0.0020889926017169103,2.5485086
0.0021176519620923484,2.5492175
0.0021463114760902346,2.5498869
0.002174970870356341,2.5505171
0.0022036301246025625,2.5511866
0.0022322894962433226,2.551856
0.002260948883680336,2.5524073
0.002289608406641497,2.5530374
0.002318267925040307,2.5536675
0.0023469274638356907,2.5543764
0.0023755869304000754,2.5550065
0.0024042465730333973,2.5557153
0.002432905849890754,2.5563061
0.0024615652238126895,2.5568967
0.002490224834864052,2.5575268
0.0025188841839953735,2.5580783
0.0025475434653450257,2.5588264
0.0025762028347923183,2.5594172
0.002604862265181196,2.5600867
0.002633521948485318,2.560638
0.002662181564088595,2.5612681
0.0026908411818994393,2.5619376
0.0027195006145903644,2.5625284
0.002748159877806966,2.5631979
0.0027768191772338247,2.5638278
0.002805478666356831,2.5644186
0.002834138069572223,2.5650094
0.002862797531518302,2.5656788
0.0028914571177545145,2.5663877
0.0029201164985092065,2.5669782
0.0029487760847174416,2.567569
0.0029774355128636687,2.5681598
0.0030060949138539517,2.5688293
0.0030347541839171877,2.5694594
0.003063413368146306,2.5701289
0.003092072855047756,2.5706801
0.003120732125149517,2.5714283
0.0031493912800152346,2.5719798
0.0031780509158892967,2.572531
0.0032067101904412754,2.5731611
0.0032353695485776157,2.5737519
0.0032640285703017247,2.5743821
0.00329268782686043,2.5750513
0.003321347361188387,2.5755634
0.0033500066426079833,2.5763116
0.003378665894639532,2.5769024
0.003407325133086392,2.5775325
0.003435984527373259,2.5781231
0.0034646437026252253,2.5787532
0.003493302760433581,2.5792258
0.00352196166021157,2.5799739
0.003550620851200059,2.5804861
0.0035792798932018366,2.5811949
0.0036079387974999877,2.581825
0.0036365979095993595,2.5824156
0.00366525719999633,2.5830457
0.003693916467799596,2.5836759
0.003722575706305742,2.5841877
0.0037512348296318,2.5849755
0.0037798943255068496,2.585448
0.0038085539185548356,2.5860782
0.0038372131795463282,2.5865901
0.003865872567119788,2.5871809
0.003894532182617816,2.5878108
0.003923191913303259,2.5884409
0.003951851440732068,2.5890317
0.003980510882466648,2.5897405
0.00400916988154465,2.5901344
0.004037829474463184,2.5909219
0.004066488916037003,2.5914733
0.004095148312584174,2.5921035
0.004123807831021287,2.5927334
0.00415246736305086,2.5932059
0.004181126816005465,2.5938754
0.0042097859686601735,2.5944269
0.004238445464524787,2.595057
0.004267105247184766,2.5956872
0.0042957645690969715,2.5962777
0.004324424094370616,2.5968685
0.004353083709966898,2.5973804
0.004381743183265785,2.5980499
0.004410402760444243,2.5986013
0.004439062091522561,2.5993102
0.004467721415796322,2.5997827
0.004496380636165864,2.6004522
0.004525040032734129,2.6009641
0.004553699354779117,2.6016335
0.004582358414903509,2.6021454
0.004611017646594551,2.6027362
0.004639677131179631,2.6033664
0.004668336735440648,2.6039965
0.004696995982955698,2.6046264
0.004725655192059919,2.6051385
0.004754314748932509,2.6056111
0.004782974271935303,2.6063199
0.0048116334742699385,2.6068318
0.004840292439460603,2.6074619
0.004868951901473073,2.6080527
0.0048976114312073715,2.6086433
0.0049262709428749,2.6091554
0.004954930565254978,2.6096673
0.004983589754018358,2.6103368
0.005012249116608469,2.610888
0.0050409085289202515,2.6115971
0.005069567812526543,2.612227
0.005098227405525568,2.6127784
0.0051268868494821485,2.6132116
0.005155546277575751,2.6138811
0.005184205545382459,2.614393
0.005212864937388373,2.6150625
0.005241524501051975,2.615535
0.005270183944990681,2.6160469
0.005298843273749521,2.6167164
0.005327502473760903,2.6173465
0.005356161910922919,2.617898
0.005384821318767052,2.6184099
0.005413480694969941,2.6190007
0.005442140114100491,2.6196702
0.0054707998471229535,2.6202214
0.005499459374618154,2.6206939
0.0055281186785896,2.6212454
0.005556777989316752,2.6218753
0.00558543737906958,2.6224267
0.005614096972019644,2.6230175
0.005642756461124998,2.6234901
0.00567141594795284,2.6241989
0.005700075477722111,2.6246715
0.005728734991681472,2.6252227
0.005757394562076246,2.6258528
0.005786054051199141,2.6263647
0.0058147136125641374,2.6269555
0.005843373076843572,2.6274281
0.005872032477858502,2.6280582
0.005900691869878516,2.6285701
0.0059293514244036505,2.6291609
0.005958011071543257,2.6297517
0.005986670800017357,2.6303029
0.006015330345561787,2.6307755
0.006043989769226377,2.6314843
0.006072649131914409,2.6320751
0.006101308763299618,2.6325476
0.006129968274974695,2.6330988
0.006158627493059399,2.6336503
